flag,mu,alpha (deg),CL,CD,L/D,N (rpm),C_l,C_m,C_y
,0.145,16.9,0.6700,0.21060,3.18,117.2,+0.002270,+0.000649,+0.0093
,0.145,16.9,0.6710,0.21080,3.18,117.2,+0.002051,+0.000720,+0.0088
,0.170,12.7,0.5270,0.13300,3.97,119.7,+0.001522,+0.000370,+0.0073
,0.171,12.7,0.5200,0.13100,3.97,119.7,+0.001326,+0.000298,+0.0067
,0.143,17.7,0.6830,0.21480,3.18,127.5,+0.001847,+0.000389,+0.0136
,0.145,17.9,0.6690,0.21560,3.11,128.0,+0.001641,+0.000191,+0.0137
,0.174,12.5,0.5160,0.12260,4.21,129.1,+0.001215,+0.000279,+0.0086
,0.174,12.4,0.5220,0.12250,4.26,129.1,+0.001273,+0.000359,+0.0086
,0.203,9.1,0.3800,0.07680,4.95,120.5,+0.001155,+0.000324,+0.0053
,0.202,9.0,0.3850,0.07660,5.04,120.5,+0.001458,+0.000435,+0.0053
,0.210,8.3,0.3590,0.06710,5.35,129.1,+0.000870,+0.000143,+0.0062
,0.212,8.4,0.3520,0.06660,5.29,128.5,+0.000832,+0.000221,+0.0057
,0.242,6.3,0.2660,0.04390,6.05,118.9,+0.000729,+0.000178,+0.0047
,0.241,6.4,0.2640,0.04390,6.01,119.2,+0.000719,+0.000176,+0.0046
,0.242,6.4,0.2710,0.04500,6.02,119.1,+0.001022,+0.000248,+0.0050
,0.240,6.4,0.2750,0.04550,6.04,119.5,+0.000699,+0.000177,+0.0049
,0.270,4.8,0.2070,0.03100,6.68,118.9,+0.000472,+0.000084,+0.0039
,0.270,4.8,0.2060,0.03090,6.67,118.9,+0.000466,+0.000132,+0.0037
,0.268,5.0,0.2160,0.03260,6.62,128.5,+0.000652,+0.000106,+0.0042
,0.268,5.0,0.2170,0.03270,6.64,129.1,+0.000400,+0.000117,+0.0043
,0.297,3.9,0.1670,0.02410,6.93,118.9,+0.000075,+0.000070,+0.0036
,0.295,3.9,0.1670,0.02410,6.93,119.2,+0.000361,+0.000119,+0.0035
,0.284,4.3,0.1870,0.02740,6.83,128.0,+0.000400,+0.000096,+0.0038
,0.285,4.3,0.1850,0.02750,6.73,128.0,+0.000521,+0.000104,+0.0037
,0.308,3.6,0.1510,0.02150,7.02,119.7,+0.000442,+0.000079,+0.0033
,0.307,3.6,0.1540,0.02170,7.10,120.5,+0.000359,+0.000059,+0.0033
,0.305,3.6,0.1600,0.02300,6.96,128.8,+0.000402,+0.000087,+0.0033
,0.306,3.6,0.1570,0.02250,6.98,128.1,+0.000550,+0.000116,+0.0033
,0.335,3.0,0.1271,0.01760,7.06,119.2,+0.000247,+0.000048,+0.0028
,0.339,3.0,0.1231,0.01760,7.00,118.1,+0.000216,+0.000071,+0.0028
,0.319,3.4,0.1445,0.02060,7.02,127.5,+0.000475,+0.000097,+0.0029
,0.315,3.4,0.1479,0.02070,7.14,128.0,+0.000302,+0.000102,+0.0031
,0.349,2.7,0.1148,0.01620,7.09,118.5,+0.000347,+0.000053,+0.0028
,0.350,2.7,0.1147,0.01610,7.11,118.9,+0.000308,+0.000035,+0.0028
,0.337,3.3,0.1271,0.01790,7.10,128.8,+0.000455,+0.000075,+0.0029
,0.334,2.9,0.1303,0.01820,7.16,129.1,+0.000219,+0.000017,+0.0024
,0.368,2.3,0.1030,0.01440,7.14,118.9,+0.000289,+0.000048,+0.0024
,0.369,2.3,0.1013,0.01420,7.13,119.2,+0.000287,+0.000054,+0.0024
,0.356,2.4,0.1125,0.01560,7.21,128.8,+0.000387,+0.000061,+0.0026
,0.353,2.5,0.1139,0.01580,7.21,128.8,+0.000209,+0.000029,+0.0026
,0.390,2.2,0.0874,0.01240,7.05,118.1,+0.000197,+0.000025,+0.0021
,0.396,2.2,0.0857,0.01210,7.08,116.3,+0.000408,+0.000019,+0.0020
,0.377,2.2,0.0984,0.01370,7.18,128.4,+0.000169,+0.000022,+0.0023
,0.374,2.2,0.1013,0.01400,7.18,129.5,+0.000049,+0.000043,+0.0023
,0.409,1.8,0.0802,0.01140,7.04,119.2,+0.000228,+0.000041,+0.0019
,0.412,1.8,0.0784,0.01110,7.06,118.5,+0.000228,+0.000051,+0.0019
,0.392,2.0,0.0899,0.01250,7.19,128.8,+0.000289,+0.000017,+0.0021
,0.392,2.0,0.0905,0.01250,7.24,128.8,+0.000240,+0.000018,+0.0021
,0.428,1.6,0.0717,0.01020,7.03,118.1,+0.000149,+0.000032,+0.0016
,0.429,1.6,0.0731,0.01040,7.03,118.5,+0.000239,+0.000017,+0.0017
,0.414,1.8,0.0798,0.01120,7.13,128.8,+0.000301,-0.000006,+0.0017
,0.409,1.8,0.0811,0.01140,7.11,129.1,+0.000115,-0.000002,+0.0018
,0.445,1.5,0.0667,0.00970,6.84,119.2,+0.000310,+0.000026,+0.0015
,0.446,1.5,0.0661,0.00970,6.77,119.2,+0.000305,+0.000022,+0.0015
,0.438,1.6,0.0693,0.00991,7.00,128.8,+0.000209,+0.000023,+0.0015
,0.434,1.6,0.0707,0.01030,6.87,129.1,+0.000248,+0.000043,+0.0015
,0.480,1.4,0.0549,0.00847,6.48,117.2,+0.000240,+0.000001,+0.0011
,0.481,1.4,0.0567,0.00878,6.46,117.2,+0.000351,+0.000001,+0.0011
,0.449,1.4,0.0657,0.00915,6.92,117.2,+0.000351,+0.000026,+0.0013
,0.449,1.4,0.0661,0.00975,6.78,129.1,+0.000090,+0.000017,+0.0013
,0.491,1.3,0.0536,0.00845,6.34,118.9,+0.000299,+0.000040,+0.0010
,0.498,1.3,0.0510,0.00813,6.27,117.2,+0.000220,+0.000004,+0.0011
,0.462,1.7,0.0616,0.00921,6.69,129.1,+0.000180,+0.000026,+0.0012
,0.467,1.5,0.0596,0.00901,6.62,128.4,+0.000160,+0.000015,+0.0013
,0.503,1.2,0.0505,0.00806,6.26,119.5,+0.000099,+0.000021,+0.0010
,0.497,1.2,0.0518,0.00806,6.43,120.5,+0.000139,+0.000018,+0.0010
,0.503,1.4,0.0533,0.00883,6.04,129.5,+0.000310,+0.000014,+0.0010
,0.479,1.3,0.0582,0.00872,6.67,130.8,+0.000279,+0.000026,+0.0011
,0.527,1.1,0.0459,0.00753,6.10,118.9,+0.000199,+0.000023,+0.0008
,0.533,1.0,0.0444,0.00739,6.01,117.6,+0.000229,+0.000005,+0.0008
,0.512,1.2,0.0492,0.00782,6.29,128.0,+0.000279,+0.000025,+0.0010
,0.500,1.2,0.0523,0.00799,6.55,130.8,+0.000219,+0.000032,+0.0010
,0.548,1.0,0.0426,0.00724,5.89,118.9,+0.000240,+0.000010,+0.0007
,0.550,1.0,0.0424,0.00690,6.15,118.9,+0.000189,+0.000040,+0.0007
